"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"267101";"2018-01-06";"ABC1493";"COCHE ABC";"2";"9";"0";"0";"0";"0";"1";"12000";"7750"
"268467";"2018-01-10";"ACTI221";"MORRAL ACTIVO REF J/221 J/1971";"4";"19";"108";"0";"0";"0";"1";"24000";"0"
"269115";"2018-01-12";"ACTI221";"MORRAL ACTIVO REF J/221 J/1971";"4";"19";"108";"0";"0";"0";"1";"30000";"0"
"268428";"2018-01-10";"ACTI589";"MORRAL ACTIVO SURTIDO";"4";"19";"0";"0";"0";"0";"1";"33900";"22000"
"268596";"2018-01-11";"ACTI589";"MORRAL ACTIVO SURTIDO";"4";"19";"0";"0";"0";"0";"1";"33900";"22000"
"268702";"2018-01-11";"ACUA006";"BRASSIER DAMA ACUARELLA 2006 - 2002";"1";"4";"28";"35";"0";"0";"1";"22900";"12555"
"266748";"2018-01-05";"ADAX110";"SUECO HM MILITAR ADAX REF 5110";"3";"14";"84";"0";"0";"0";"1";"21000";"15000"
"266329";"2018-01-04";"ADAX770";"SUECO NINO ADAX REF 4770/4973";"3";"14";"82";"0";"0";"0";"1";"6000";"4000"
"267745";"2018-01-09";"ADIB026";"CALZADO COLEGIAL ADIDAS BLANCO TLL26";"4";"20";"109";"0";"0";"28";"1";"31900";"18000"
"269029";"2018-01-12";"ADIB029";"CALZADO COLEGIAL ADIDAS BLANCO TALLA 29";"4";"20";"109";"0";"0";"31";"1";"34900";"20000"
"268595";"2018-01-11";"ADIB040";"CALZADO COLEGIAL BLANCO TLL40";"4";"20";"109";"0";"0";"16";"1";"39900";"25000"
"267821";"2018-01-09";"ADIB042";"CALZADO COLEGIAL ADIDAS BLANCO TALLA 42";"4";"20";"109";"0";"0";"44";"1";"39900";"25000"
"265791";"2018-01-03";"ADID011";"CAMISETA DAMA ADIDAS VARIAS REF";"1";"4";"29";"29";"0";"0";"1";"19000";"11125"
"266314";"2018-01-04";"ADID014";"ZAPATILLAS HM ADIDAS 34 AL 43";"3";"20";"109";"0";"0";"0";"1";"44000";"26552.46"
"266624";"2018-01-05";"ADID150";"LYCRA DM ADIDAS 2 RAYAS";"1";"4";"35";"51";"0";"0";"1";"21000";"0"
"267242";"2018-01-06";"ADID150";"LYCRA DM ADIDAS 2 RAYAS";"1";"4";"35";"51";"0";"0";"1";"21000";"0"
"267476";"2018-01-07";"ADID213";"CAMISETA HOMBRE SELECCION COLOMBIA ADIDAS";"1";"5";"19";"58";"0";"0";"1";"28000";"13727.27"
"268764";"2018-01-11";"ADID213";"CAMISETA HOMBRE SELECCION COLOMBIA ADIDAS";"1";"5";"19";"58";"0";"0";"1";"28000";"13727.27"
"265622";"2018-01-02";"ADID283";"ADIDAS DEPORTIVO 27 AL 32 NEO NINO";"2";"16";"92";"0";"0";"0";"1";"36900";"26000"
"267033";"2018-01-06";"ADID315";"CMSTA DM MARCAS";"1";"5";"39";"58";"0";"0";"1";"21900";"14571.43"
"267485";"2018-01-07";"ADID315";"CMSTA DM MARCAS";"1";"5";"39";"58";"0";"0";"1";"21900";"14571.43"
"270190";"2018-01-15";"ADID315";"CMSTA DM MARCAS";"1";"5";"39";"58";"0";"0";"2";"33600";"29142.86"
"265930";"2018-01-03";"ADID320";"SUDADERA DM MARCAS ALGODON MARTIN";"1";"4";"134";"0";"0";"0";"1";"38400";"0"
"266118";"2018-01-03";"ADID361";"PANTALONETA NINO MARK";"1";"3";"25";"0";"0";"0";"2";"28000";"19666.66"
"265488";"2018-01-02";"ADID999";"PANTALONETA HM MARCAS ";"1";"5";"45";"0";"0";"0";"3";"77700";"45173.07"
"265801";"2018-01-03";"ADID999";"PANTALONETA HM MARCAS ";"1";"5";"45";"0";"0";"0";"3";"77700";"45173.07"
"266155";"2018-01-04";"ADID999";"PANTALONETA HM MARCAS ";"1";"5";"45";"0";"0";"0";"1";"25900";"15057.69"
